seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
0,0,train,300002,all,640,2560,599,41,299,2344.9905955789227,2333.799048372857,-2341.4540181208718,26.46455861686656,26.46455861686656,0.0,0.9160119513980167,0.9547985406726632,1.0161058181379263,-0.9146304758284656,0.4991652754590985,0.041350872838854004,0.044181233083249685,0.0
0,0,train,300002,1-8,160,640,119,41,59,431.59852329890066,407.0168232969005,-428.06194584085006,14.772559413411582,14.772559413411582,0.0,0.6743726926545323,0.7974733766097819,1.0127014175936853,-0.6688467903763282,0.4957983193277311,0.09232849633382238,0.1241391547345511,0.0
0,0,train,300002,9-16,160,640,160,0,80,637.3715411825386,641.3384802814328,-637.3715411825386,3.8973330678183267,3.8973330678183267,0.0,0.9958930330977166,1.0010451415594297,1.015855164576794,-0.9958930330977166,0.5,0.02435833167386454,0.02435833167386454,
0,0,train,300002,17-24,160,640,160,0,80,637.764433993986,642.200516286013,-637.764433993986,3.8973330678183267,3.8973330678183267,0.0,0.9965069281156032,1.0017176781393524,1.0162445795559387,-0.9965069281156032,0.5,0.02435833167386454,0.02435833167386454,
0,0,train,300002,25-32,160,640,160,0,80,638.2560971034972,643.2432285085108,-638.2560971034972,3.8973330678183267,3.8973330678183267,0.0,0.9972751517242143,1.0025305703790524,1.016876587441663,-0.9972751517242143,0.5,0.02435833167386454,0.02435833167386454,
0,0,train,300003,all,640,2560,583,57,53,2318.061891826783,2310.2394637580483,-2315.8789693884673,54.80118454991972,54.801184549919725,0.0,0.905492926494837,0.9499669944426952,1.0377963159830497,-0.9046402224173701,0.09090909090909091,0.08562685085924956,0.09399860128631171,0.0
0,0,train,300003,1-8,160,640,103,57,5,389.12624976097675,354.29698439154845,-386.94332732266105,30.231831039426105,30.231831039426105,0.0,0.6080097652515262,0.744035643038554,1.0133575798930876,-0.6045989489416579,0.04854368932038835,0.18894894399641315,0.2935129227128748,0.0
0,0,train,300003,9-16,160,640,160,0,16,642.6372795428924,650.9907675861281,-642.6372795428924,8.189784503497872,8.189784503497872,0.0,1.0041207492857693,1.0085499860459695,1.0373790121768787,-1.0041207492857693,0.1,0.0511861531468617,0.0511861531468617,
0,0,train,300003,17-24,160,640,160,0,16,642.952448885686,651.935420455672,-642.952448885686,8.189784503497872,8.189784503497872,0.0,1.0046132013838842,1.009281474347958,1.0380497227321566,-1.0046132013838842,0.1,0.0511861531468617,0.0511861531468617,
0,0,train,300003,25-32,160,640,160,0,16,643.3459136372276,653.0162913246999,-643.3459136372276,8.189784503497872,8.189784503497872,0.0,1.005227990058168,1.0101177927325324,1.0385322072209044,-1.005227990058168,0.1,0.0511861531468617,0.0511861531468617,
0,0,train,300004,all,640,2560,585,55,378,2351.7198200226876,2373.587682093408,-2350.6974159598594,15.834048684227543,15.834048684227543,0.0,0.9186405546963623,0.9629032601033904,1.0450585682422824,-0.91824117810932,0.6461538461538462,0.024740701069105538,0.02706674988756845,0.0
0,0,train,300004,1-8,160,640,105,55,66,398.6839256968294,367.9381490874793,-397.6615216340014,8.763962046940579,8.76396204694058,0.0,0.6229436339012959,0.7582238178461466,1.0321477418973468,-0.6213461275531272,0.6285714285714286,0.05477476279337862,0.08346630520895791,0.0
0,0,train,300004,9-16,160,640,160,0,104,650.9209405267358,668.2872090543874,-650.9209405267358,2.356695545762321,2.356695545762321,0.0,1.0170639695730246,1.0218604425984403,1.0452807580569645,-1.0170639695730246,0.65,0.014729347161014506,0.014729347161014506,
0,0,train,300004,17-24,160,640,160,0,104,651.0253902915612,668.5760262164298,-651.0253902915612,2.356695545762321,2.356695545762321,0.0,1.0172271723305644,1.0220812301197844,1.0451121149567775,-1.0172271723305644,0.65,0.014729347161014506,0.014729347161014506,
0,0,train,300004,25-32,160,640,160,0,104,651.0895635075614,668.7862977351122,-651.0895635075614,2.356695545762321,2.356695545762321,0.0,1.0173274429805645,1.0222419430893612,1.0450385342102384,-1.0173274429805645,0.65,0.014729347161014506,0.014729347161014506,
